stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Hebert\Area de trabalho\Programacao\UFV\SISTEMAS DE INFORMAÇÃO - UFV\5° Semestre\Computação Orientada a objetos\Projeto\PROJETOFINAL\Pacman\bin\Debug\allegro5.cfg r
font     D                ttf.c:167  unlock_current_page              [   0.63101] Unlocking page: 00000000027c4230
font     D                ttf.c:243  alloc_glyph_region               [   0.63115] Glyph 54: 12x12 (12x12)
font     D                ttf.c:287  alloc_glyph_region               [   0.63121] Locking glyph region: 00000000027c4230 36 0 12 12
font     D                ttf.c:167  unlock_current_page              [   0.63135] Unlocking page: 00000000027c4230
font     D                ttf.c:243  alloc_glyph_region               [   0.63158] Glyph 19: 12x12 (12x12)
font     D                ttf.c:287  alloc_glyph_region               [   0.63165] Locking glyph region: 00000000027c4230 48 0 12 12
font     D                ttf.c:167  unlock_current_page              [   0.63189] Unlocking page: 00000000027c4230
font     D                ttf.c:243  alloc_glyph_region               [   0.63211] Glyph 36: 12x12 (12x12)
font     D                ttf.c:287  alloc_glyph_region               [   0.63218] Locking glyph region: 00000000027c4230 60 0 12 12
font     D                ttf.c:167  unlock_current_page              [   0.63243] Unlocking page: 00000000027c4230
font     D                ttf.c:243  alloc_glyph_region               [   0.63264] Glyph 53: 12x12 (12x12)
font     D                ttf.c:287  alloc_glyph_region               [   0.63272] Locking glyph region: 00000000027c4230 72 0 12 12
font     D                ttf.c:167  unlock_current_page              [   0.63291] Unlocking page: 00000000027c4230
font     D                ttf.c:243  alloc_glyph_region               [   0.63308] Glyph 55: 11x12 (12x12)
font     D                ttf.c:287  alloc_glyph_region               [   0.63317] Locking glyph region: 00000000027c4230 84 0 12 12
font     D                ttf.c:167  unlock_current_page              [   0.63335] Unlocking page: 00000000027c4230
font     D                ttf.c:243  alloc_glyph_region               [   0.63359] Glyph 44: 11x12 (12x12)
font     D                ttf.c:287  alloc_glyph_region               [   0.63366] Locking glyph region: 00000000027c4230 96 0 12 12
font     D                ttf.c:167  unlock_current_page              [   0.63387] Unlocking page: 00000000027c4230
font     D                ttf.c:243  alloc_glyph_region               [   0.63404] Glyph 43: 12x12 (12x12)
font     D                ttf.c:287  alloc_glyph_region               [   0.63409] Locking glyph region: 00000000027c4230 108 0 12 12
font     D                ttf.c:167  unlock_current_page              [   0.63427] Unlocking page: 00000000027c4230
font     D                ttf.c:243  alloc_glyph_region               [   0.63455] Glyph 40: 12x12 (12x12)
font     D                ttf.c:287  alloc_glyph_region               [   0.63462] Locking glyph region: 00000000027c4230 120 0 12 12
font     D                ttf.c:167  unlock_current_page              [   0.63489] Unlocking page: 00000000027c4230
font     D                ttf.c:243  alloc_glyph_region               [   0.63507] Glyph 38: 12x12 (12x12)
font     D                ttf.c:287  alloc_glyph_region               [   0.63515] Locking glyph region: 00000000027c4230 132 0 12 12
font     D                ttf.c:167  unlock_current_page              [   0.63535] Unlocking page: 00000000027c4230
font     D                ttf.c:446  cache_glyph                      [   0.63548] Glyph 3 has zero size.
font     D                ttf.c:243  alloc_glyph_region               [   0.63560] Glyph 32: 9x9 (12x12)
font     D                ttf.c:287  alloc_glyph_region               [   0.63567] Locking glyph region: 00000000027c4230 144 0 12 12
font     D                ttf.c:167  unlock_current_page              [   0.63586] Unlocking page: 00000000027c4230
font     D                ttf.c:243  alloc_glyph_region               [   0.63610] Glyph 41: 12x12 (12x12)
font     D                ttf.c:287  alloc_glyph_region               [   0.63617] Locking glyph region: 00000000027c4230 156 0 12 12
font     D                ttf.c:167  unlock_current_page              [   0.63646] Unlocking page: 00000000027c4230
font     D                ttf.c:243  alloc_glyph_region               [   0.63667] Glyph 59: 12x12 (12x12)
font     D                ttf.c:287  alloc_glyph_region               [   0.63680] Locking glyph region: 00000000027c4230 168 0 12 12
font     D                ttf.c:167  unlock_current_page              [   0.63701] Unlocking page: 00000000027c4230
font     D                ttf.c:243  alloc_glyph_region               [   0.63722] Glyph 56: 12x12 (12x12)
font     D                ttf.c:287  alloc_glyph_region               [   0.63729] Locking glyph region: 00000000027c4230 180 0 12 12
font     D                ttf.c:167  unlock_current_page              [   0.63751] Unlocking page: 00000000027c4230
font     D                ttf.c:243  alloc_glyph_region               [   0.63771] Glyph 49: 12x12 (12x12)
font     D                ttf.c:287  alloc_glyph_region               [   0.63778] Locking glyph region: 00000000027c4230 192 0 12 12
font     D                ttf.c:167  unlock_current_page              [   0.63826] Unlocking page: 00000000027c4230
font     D                ttf.c:243  alloc_glyph_region               [   0.63857] Glyph 48: 12x12 (12x12)
font     D                ttf.c:287  alloc_glyph_region               [   0.63865] Locking glyph region: 00000000027c4230 204 0 12 12
font     D                ttf.c:167  unlock_current_page              [   0.63893] Unlocking page: 00000000027c4230
font     D                ttf.c:243  alloc_glyph_region               [   0.63921] Glyph 18: 10x9 (12x12)
font     D                ttf.c:287  alloc_glyph_region               [   0.63928] Locking glyph region: 00000000027c4230 216 0 12 12
font     D                ttf.c:167  unlock_current_page              [   0.63946] Unlocking page: 00000000027c4230
font     D                ttf.c:243  alloc_glyph_region               [   0.63970] Glyph 39: 12x12 (12x12)
font     D                ttf.c:287  alloc_glyph_region               [   0.63977] Locking glyph region: 00000000027c4230 228 0 12 12
font     D                ttf.c:167  unlock_current_page              [   0.64002] Unlocking page: 00000000027c4230
font     D                ttf.c:243  alloc_glyph_region               [   0.64021] Glyph 60: 11x12 (12x12)
font     D                ttf.c:287  alloc_glyph_region               [   0.64028] Locking glyph region: 00000000027c4230 240 0 12 12
font     D                ttf.c:167  unlock_current_page              [   0.64049] Unlocking page: 00000000027c4230
font     D                ttf.c:243  alloc_glyph_region               [   0.64068] Glyph 4: 7x12 (8x12)
font     D                ttf.c:287  alloc_glyph_region               [   0.64076] Locking glyph region: 00000000027c4230 0 12 8 12
font     D                ttf.c:167  unlock_current_page              [   0.64097] Unlocking page: 00000000027c4230
font     D                ttf.c:243  alloc_glyph_region               [   0.64118] Glyph 51: 12x12 (12x12)
font     D                ttf.c:287  alloc_glyph_region               [   0.64139] Locking glyph region: 00000000027c4230 8 12 12 12
font     D                ttf.c:167  unlock_current_page              [   0.64184] Unlocking page: 00000000027c4230
font     D                ttf.c:243  alloc_glyph_region               [   0.64200] Glyph 37: 12x12 (12x12)
font     D                ttf.c:287  alloc_glyph_region               [   0.64206] Locking glyph region: 00000000027c4230 20 12 12 12
font     D                ttf.c:167  unlock_current_page              [   0.64225] Unlocking page: 00000000027c4230
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.64768] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.64788] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.64941] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.64955] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.65410] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.65428] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.65915] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.65931] _al_d3d_sync_bitmap (video) ref count == 1
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.35173] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.35184]  0.707107 0.000000
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.35189]  0.000000 0.707107
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.35202] removed dtor for sample 00000000027655e0
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.35211] removed dtor for sample 0000000002765a90
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.35216] removed dtor for sample 0000000002765610
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.35341] removed dtor for sample 0000000002765c70
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.35348] removed dtor for sample 0000000002765b50
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.35391] removed dtor for sample 00000000027658e0
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.35413] removed dtor for bitmap 000000000276b260
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.35455] removed dtor for bitmap 000000000276ac70
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.35551] removed dtor for queue 0000000002767600
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.35568] removed dtor for timer 0000000002767550
d3d      I         d3d_disp.cpp:915  d3d_destroy_display              [   1.35575] destroying display 000000000274fbd0 (current 0000000000000000)
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [   1.35942] converting display bitmap 00000000027c4230 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [   1.35956] added dtor for bitmap 00000000027c4020, func 00007ffc93f71bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.35967] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.35974] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.36075] removed dtor for bitmap 00000000027c4020
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [   1.36123] converting display bitmap 00000000027c1a70 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [   1.36132] added dtor for bitmap 00000000027c4020, func 00007ffc93f71bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.36143] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.36148] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.36552] removed dtor for bitmap 00000000027c4020
d3d      D         d3d_disp.cpp:899  d3d_destroy_display_internals    [   1.36711] waiting for display 000000000274fbd0's thread to end
d3d      W         d3d_disp.cpp:608  d3d_destroy_device               [   1.40524] d3d_destroy_device: ref count not 0
d3d      W         d3d_disp.cpp:608  d3d_destroy_device               [   1.40537] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1562 d3d_display_thread_proc          [   1.42317] d3d display thread exits
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.42431] removed dtor for ttf_font 0000000002765c10
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.42483] removed dtor for ttf_font 0000000002765640
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.42521] removed dtor for sample_instance 0000000000729550
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.42538] removed dtor for sample_instance 0000000000729290
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.42546] removed dtor for sample_instance 0000000000729400
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.42551] removed dtor for sample_instance 000000000072edc0
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.42557] removed dtor for sample_instance 000000000273efe0
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.42563] removed dtor for sample_instance 000000000273f100
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.42570] removed dtor for mixer 0000000000728fc0
audio-dsound D           dsound.cpp:528  _dsound_stop_voice               [   1.42576] Stopping voice
audio-dsound D           dsound.cpp:545  _dsound_stop_voice               [   1.42580] Joining thread
audio-dsound D           dsound.cpp:551  _dsound_stop_voice               [   1.43231] Joined thread
audio-dsound D           dsound.cpp:553  _dsound_stop_voice               [   1.43245] Destroying thread
audio-dsound D           dsound.cpp:555  _dsound_stop_voice               [   1.43253] Thread destroyed
audio-dsound D           dsound.cpp:562  _dsound_stop_voice               [   1.43260] Releasing buffer
audio-dsound I           dsound.cpp:566  _dsound_stop_voice               [   1.43268] Voice stopped
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.43284] removed dtor for voice 0000000000728e20
audio-dsound D           dsound.cpp:380  _dsound_deallocate_voice         [   1.43292] Deallocating voice
audio-dsound D           dsound.cpp:385  _dsound_deallocate_voice         [   1.43298] Deallocated voice
audio-dsound D           dsound.cpp:296  _dsound_close                    [   1.43305] Releasing device
audio-dsound D           dsound.cpp:298  _dsound_close                    [   1.44355] Released device
audio-dsound I           dsound.cpp:299  _dsound_close                    [   1.44366] DirectSound closed
